rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,鹿晗道歉,13655319,艺人,0,,鹿晗道歉,https://s.weibo.com/weibo?q=鹿晗道歉,2025-01-06 16:59:29
1,鸡窝头女士收拾漂亮去上班,733401,民生新闻,1,,#鸡窝头女士收拾漂亮去上班#,https://s.weibo.com/weibo?q=鸡窝头女士收拾漂亮去上班,2025-01-06 16:59:29
2,打卡中华文化种子库,31221,正能量,1,,#打卡中华文化种子库#,https://s.weibo.com/weibo?q=打卡中华文化种子库,2025-01-06 16:59:29
2,邓为新年新代言,,,1,,,https://s.weibo.com/weibo?q=邓为新年新代言,2025-01-06 16:59:29
3,12306崩了,565972,互联网,0,,12306崩了,https://s.weibo.com/weibo?q=12306崩了,2025-01-06 16:59:29
4,缅甸妙瓦底系网络诈骗的大本营,489485,民生新闻,1,,#缅甸妙瓦底系网络诈骗的大本营#,https://s.weibo.com/weibo?q=缅甸妙瓦底系网络诈骗的大本营,2025-01-06 16:59:29
5,鹿晗社交平台被禁止关注,5534293,艺人,1,,#鹿晗社交平台被禁止关注#,https://s.weibo.com/weibo?q=鹿晗社交平台被禁止关注,2025-01-06 16:59:29
5,今日辟谣,,,1,,,https://s.weibo.com/weibo?q=今日辟谣,2025-01-06 16:59:29
6,韦雪直播掉美颜,2013498,网红,1,,#韦雪直播掉美颜#,https://s.weibo.com/weibo?q=韦雪直播掉美颜,2025-01-06 16:59:29
7,外交部新任发言人郭嘉昆亮相,483135,国内时政,1,,#外交部新任发言人郭嘉昆亮相#,https://s.weibo.com/weibo?q=外交部新任发言人郭嘉昆亮相,2025-01-06 16:59:29
8,妙瓦底,456480,民生新闻,0,,妙瓦底,https://s.weibo.com/weibo?q=妙瓦底,2025-01-06 16:59:29
9,演员星星曾出演玫瑰的故事,329172,艺人,1,,#演员星星曾出演玫瑰的故事#,https://s.weibo.com/weibo?q=演员星星曾出演玫瑰的故事,2025-01-06 16:59:29
10,田曦薇星光大赏被anti,781500,作品衍生,1,盛典,#田曦薇星光大赏被anti#,https://s.weibo.com/weibo?q=田曦薇星光大赏被anti,2025-01-06 16:59:29
11,抖音副总裁回应用户将钱读成米,563911,互联网,1,,#抖音副总裁回应用户将钱读成米#,https://s.weibo.com/weibo?q=抖音副总裁回应用户将钱读成米,2025-01-06 16:59:29
12,杨紫25年首套高定造型,369314,剧集,0,剧集,杨紫25年首套高定造型,https://s.weibo.com/weibo?q=杨紫25年首套高定造型,2025-01-06 16:59:29
13,演员王星是否在妙瓦底有待核实,320496,艺人,1,,#演员王星是否在妙瓦底有待核实#,https://s.weibo.com/weibo?q=演员王星是否在妙瓦底有待核实,2025-01-06 16:59:29
14,WTT发文感谢樊振东,308186,体育,1,,#WTT发文感谢樊振东#,https://s.weibo.com/weibo?q=WTT发文感谢樊振东,2025-01-06 16:59:29
15,工藤静香官宣微博之夜,232212,作品衍生,1,盛典,#工藤静香官宣微博之夜#,https://s.weibo.com/weibo?q=工藤静香官宣微博之夜,2025-01-06 16:59:29
16,国家反诈中心曾提醒请勿前往妙瓦底,230666,民生新闻,1,,#国家反诈中心曾提醒请勿前往妙瓦底#,https://s.weibo.com/weibo?q=国家反诈中心曾提醒请勿前往妙瓦底,2025-01-06 16:59:29
17,韩国小狗与遇难家人告别全程安静,223749,海外新闻,1,,#韩国小狗与遇难家人告别全程安静#,https://s.weibo.com/weibo?q=韩国小狗与遇难家人告别全程安静,2025-01-06 16:59:29
18,19岁大学生突发疾病脑死亡,222542,民生新闻,1,,#19岁大学生突发疾病脑死亡#,https://s.weibo.com/weibo?q=19岁大学生突发疾病脑死亡,2025-01-06 16:59:29
19,官方回应公司用消费券抵工资,76502,民生新闻,1,,#官方回应公司用消费券抵工资#,https://s.weibo.com/weibo?q=官方回应公司用消费券抵工资,2025-01-06 16:59:29
20,太好了是长发秦岚,291499,艺人,1,,#太好了是长发秦岚#,https://s.weibo.com/weibo?q=太好了是长发秦岚,2025-01-06 16:59:29
21,女子吃5斤车厘子后发高烧,482496,民生新闻,1,,#女子吃5斤车厘子后发高烧#,https://s.weibo.com/weibo?q=女子吃5斤车厘子后发高烧,2025-01-06 16:59:29
22,演员范虎怒斥徐大久提供假消息,248564,艺人,1,,#演员范虎怒斥徐大久提供假消息#,https://s.weibo.com/weibo?q=演员范虎怒斥徐大久提供假消息,2025-01-06 16:59:29
23,迪丽热巴 青壮年艺术家,247892,作品衍生,0,剧集,迪丽热巴 青壮年艺术家,https://s.weibo.com/weibo?q=迪丽热巴 青壮年艺术家,2025-01-06 16:59:29
24,广州队无缘准入,66847,体育,1,,#广州队无缘准入#,https://s.weibo.com/weibo?q=广州队无缘准入,2025-01-06 16:59:29
25,减肥不吃晚餐不会痩,215761,健康医疗,1,,#减肥不吃晚餐不会痩#,https://s.weibo.com/weibo?q=减肥不吃晚餐不会痩,2025-01-06 16:59:29
26,高三班主任给全班煮了个泡面塔,211913,教育,1,,#高三班主任给全班煮了个泡面塔#,https://s.weibo.com/weibo?q=高三班主任给全班煮了个泡面塔,2025-01-06 16:59:29
27,驻缅甸大使馆回应演员星星失联,195546,艺人,1,,#驻缅甸大使馆回应演员星星失联#,https://s.weibo.com/weibo?q=驻缅甸大使馆回应演员星星失联,2025-01-06 16:59:29
28,终于又等到全戏骨阵容的国产剧,191310,剧集,0,剧集,终于又等到全戏骨阵容的国产剧,https://s.weibo.com/weibo?q=终于又等到全戏骨阵容的国产剧,2025-01-06 16:59:29
29,换孙珍妮桃花头像crush来了,187043,剧集,0,,换孙珍妮桃花头像crush来了,https://s.weibo.com/weibo?q=换孙珍妮桃花头像crush来了,2025-01-06 16:59:29
30,演员星星女友已落地曼谷,180625,艺人,1,,#演员星星女友已落地曼谷#,https://s.weibo.com/weibo?q=演员星星女友已落地曼谷,2025-01-06 16:59:29
31,李现 现男友变现老公了,180426,剧集,0,剧集,李现 现男友变现老公了,https://s.weibo.com/weibo?q=李现 现男友变现老公了,2025-01-06 16:59:29
32,河北邯郸3.0级地震,176211,突发/灾害,1,,#河北邯郸3.0级地震#,https://s.weibo.com/weibo?q=河北邯郸3.0级地震,2025-01-06 16:59:29
33,成毅 要签名包给的,167569,综艺,0,,成毅 要签名包给的,https://s.weibo.com/weibo?q=成毅 要签名包给的,2025-01-06 16:59:29
34,徐克版射雕是浪漫主义还是现实主义,165576,电影,1,,#徐克版射雕是浪漫主义还是现实主义#,https://s.weibo.com/weibo?q=徐克版射雕是浪漫主义还是现实主义,2025-01-06 16:59:29
35,kimi崩了,159854,互联网,0,,kimi崩了,https://s.weibo.com/weibo?q=kimi崩了,2025-01-06 16:59:29
36,陈都灵辛云来贵女校园短片,155039,剧集,0,剧集,陈都灵辛云来贵女校园短片,https://s.weibo.com/weibo?q=陈都灵辛云来贵女校园短片,2025-01-06 16:59:29
37,6岁男童上学时独自离园2次未被发现,147627,民生新闻,1,,#6岁男童上学时独自离园2次未被发现#,https://s.weibo.com/weibo?q=6岁男童上学时独自离园2次未被发现,2025-01-06 16:59:29
38,芒果新综艺理解撒贝宁成为撒贝宁,147488,综艺,0,,芒果新综艺理解撒贝宁成为撒贝宁,https://s.weibo.com/weibo?q=芒果新综艺理解撒贝宁成为撒贝宁,2025-01-06 16:59:29
39,高级老钱水光妆,39328,美妆,0,,高级老钱水光妆,https://s.weibo.com/weibo?q=高级老钱水光妆,2025-01-06 16:59:29
40,肖战郭靖骑马镜头,147319,电影,1,电影,#肖战郭靖骑马镜头#,https://s.weibo.com/weibo?q=肖战郭靖骑马镜头,2025-01-06 16:59:29
41,宋亚轩 宋大葱,146999,艺人,0,,宋亚轩 宋大葱,https://s.weibo.com/weibo?q=宋亚轩 宋大葱,2025-01-06 16:59:29
42,颜安直播,125032,艺人,1,,#颜安直播#,https://s.weibo.com/weibo?q=颜安直播,2025-01-06 16:59:29
43,男子给女友转账100万分手后起诉对方,140027,民生新闻,1,,#男子给女友转账100万分手后起诉对方#,https://s.weibo.com/weibo?q=男子给女友转账100万分手后起诉对方,2025-01-06 16:59:29
44,黄景瑜孙千二搭想法,131826,作品衍生,1,,#黄景瑜孙千二搭想法#,https://s.weibo.com/weibo?q=黄景瑜孙千二搭想法,2025-01-06 16:59:29
45,知道白月梵星为什么中午播了,125045,剧集,0,剧集,知道白月梵星为什么中午播了,https://s.weibo.com/weibo?q=知道白月梵星为什么中午播了,2025-01-06 16:59:29
46,应对流感找准这个穴位,114725,健康医疗,1,,#应对流感找准这个穴位#,https://s.weibo.com/weibo?q=应对流感找准这个穴位,2025-01-06 16:59:29
