rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,西藏地震,1632487,民生新闻,0,,西藏地震,https://s.weibo.com/weibo?q=西藏地震,2025-01-07 10:02:42
1,西藏日喀则6.8级地震,1069097,民生新闻,1,,#西藏日喀则6.8级地震#,https://s.weibo.com/weibo?q=西藏日喀则6.8级地震,2025-01-07 10:02:42
2,我国在青藏高原取得找矿重大突破,124740,民生新闻,1,,#我国在青藏高原取得找矿重大突破#,https://s.weibo.com/weibo?q=我国在青藏高原取得找矿重大突破,2025-01-07 10:02:42
2,送京东黄金水饺 咬金财运来,,,1,,,https://s.weibo.com/weibo?q=送京东黄金水饺 咬金财运来,2025-01-07 10:02:42
3,演员王星女友更新最新情况,1875703,艺人,1,,#演员王星女友更新最新情况#,https://s.weibo.com/weibo?q=演员王星女友更新最新情况,2025-01-07 10:02:42
4,李心艾刘子瑞结婚,1037516,艺人,1,,#李心艾刘子瑞结婚#,https://s.weibo.com/weibo?q=李心艾刘子瑞结婚,2025-01-07 10:02:42
5,2岁娃长隆酒店高烧保安拒交外卖药,599929,民生新闻,1,,#2岁娃长隆酒店高烧保安拒交外卖药#,https://s.weibo.com/weibo?q=2岁娃长隆酒店高烧保安拒交外卖药,2025-01-07 10:02:42
5,捷豹限时劲豹价,,,1,,,https://s.weibo.com/weibo?q=捷豹限时劲豹价,2025-01-07 10:02:42
6,泰国影视圈人士发声,507863,艺人,1,,#泰国影视圈人士发声#,https://s.weibo.com/weibo?q=泰国影视圈人士发声,2025-01-07 10:02:42
7,多方回应入住酒店孩子高烧取外卖难,459574,舆论监督,1,,#多方回应入住酒店孩子高烧取外卖难#,https://s.weibo.com/weibo?q=多方回应入住酒店孩子高烧取外卖难,2025-01-07 10:02:42
8,杨紫 没有这么欺负人的,427554,剧集,0,剧集,杨紫 没有这么欺负人的,https://s.weibo.com/weibo?q=杨紫 没有这么欺负人的,2025-01-07 10:02:42
9,准备进入过年模式了,159142,民生新闻,1,,#准备进入过年模式了#,https://s.weibo.com/weibo?q=准备进入过年模式了,2025-01-07 10:02:42
10,黄子韬炮轰演员星星失联事件招聘组,636625,艺人,1,,#黄子韬炮轰演员星星失联事件招聘组#,https://s.weibo.com/weibo?q=黄子韬炮轰演员星星失联事件招聘组,2025-01-07 10:02:42
11,腾讯回应被列入美国防部名单,614162,"国际时政,互联网",1,,#腾讯回应被列入美国防部名单#,https://s.weibo.com/weibo?q=腾讯回应被列入美国防部名单,2025-01-07 10:02:42
12,赞达亚荷兰弟订婚,404526,艺人,1,,#赞达亚荷兰弟订婚#,https://s.weibo.com/weibo?q=赞达亚荷兰弟订婚,2025-01-07 10:02:42
13,一次收几十元微信红包最后贪了47万,345133,民生新闻,1,,#一次收几十元微信红包最后贪了47万#,https://s.weibo.com/weibo?q=一次收几十元微信红包最后贪了47万,2025-01-07 10:02:42
