rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
39,湖南卫视跨年晚会官宣,241140,综艺,1,晚会,#湖南卫视跨年晚会官宣#,https://s.weibo.com/weibo?q=湖南卫视跨年晚会官宣,2024-12-06 16:25:57
40,李行亮说杨子很不真诚,239289,综艺,1,综艺,#李行亮说杨子很不真诚#,https://s.weibo.com/weibo?q=李行亮说杨子很不真诚,2024-12-06 16:25:57
41,徐明浩 收听5907,194801,音乐,0,音乐,徐明浩 收听5907,https://s.weibo.com/weibo?q=徐明浩 收听5907,2024-12-06 16:25:57
42,隋文静复出,188639,体育,1,,#隋文静复出#,https://s.weibo.com/weibo?q=隋文静复出,2024-12-06 16:25:57
43,儿媳悼念琼瑶,186949,艺人,1,,#儿媳悼念琼瑶#,https://s.weibo.com/weibo?q=儿媳悼念琼瑶,2024-12-06 16:25:57
44,人人网到底收藏了多少明星黑历史,184809,民生新闻,1,,#人人网到底收藏了多少明星黑历史#,https://s.weibo.com/weibo?q=人人网到底收藏了多少明星黑历史,2024-12-06 16:25:57
45,尹锡悦暂时不会前往国会,183097,国际时政,1,,#尹锡悦暂时不会前往国会#,https://s.weibo.com/weibo?q=尹锡悦暂时不会前往国会,2024-12-06 16:25:57
46,国家明确不得传播暴饮暴食直播,175049,民生新闻,1,,#国家明确不得传播暴饮暴食直播#,https://s.weibo.com/weibo?q=国家明确不得传播暴饮暴食直播,2024-12-06 16:25:57
47,世间再无藤井树小姐,163844,艺人,1,,#世间再无藤井树小姐#,https://s.weibo.com/weibo?q=世间再无藤井树小姐,2024-12-06 16:25:57
48,TWICE空降,158204,音乐,0,音乐,TWICE空降,https://s.weibo.com/weibo?q=TWICE空降,2024-12-06 16:25:57
49,字节8位数年薪挖走阿里大模型人才,157068,互联网,1,,#字节8位数年薪挖走阿里大模型人才#,https://s.weibo.com/weibo?q=字节8位数年薪挖走阿里大模型人才,2024-12-06 16:25:57
