rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,鹿晗道歉,13350359,艺人,0,,鹿晗道歉,https://s.weibo.com/weibo?q=鹿晗道歉,2025-01-06 17:02:01
1,鸡窝头女士收拾漂亮去上班,725513,民生新闻,1,,#鸡窝头女士收拾漂亮去上班#,https://s.weibo.com/weibo?q=鸡窝头女士收拾漂亮去上班,2025-01-06 17:02:01
2,打卡中华文化种子库,31109,正能量,1,,#打卡中华文化种子库#,https://s.weibo.com/weibo?q=打卡中华文化种子库,2025-01-06 17:02:01
2,老家这么好 想回家养老,,,1,,,https://s.weibo.com/weibo?q=老家这么好 想回家养老,2025-01-06 17:02:01
3,12306崩了,530138,互联网,0,,12306崩了,https://s.weibo.com/weibo?q=12306崩了,2025-01-06 17:02:01
4,妙瓦底,488091,民生新闻,0,,妙瓦底,https://s.weibo.com/weibo?q=妙瓦底,2025-01-06 17:02:01
5,鹿晗社交平台被禁止关注,5295262,艺人,1,,#鹿晗社交平台被禁止关注#,https://s.weibo.com/weibo?q=鹿晗社交平台被禁止关注,2025-01-06 17:02:01
5,养好自己就是进步,,,1,,,https://s.weibo.com/weibo?q=养好自己就是进步,2025-01-06 17:02:01
6,韦雪直播掉美颜,2062658,网红,1,,#韦雪直播掉美颜#,https://s.weibo.com/weibo?q=韦雪直播掉美颜,2025-01-06 17:02:01
7,田曦薇星光大赏被anti,762023,作品衍生,1,盛典,#田曦薇星光大赏被anti#,https://s.weibo.com/weibo?q=田曦薇星光大赏被anti,2025-01-06 17:02:01
8,外交部新任发言人郭嘉昆亮相,479996,国内时政,1,,#外交部新任发言人郭嘉昆亮相#,https://s.weibo.com/weibo?q=外交部新任发言人郭嘉昆亮相,2025-01-06 17:02:01
9,缅甸妙瓦底系网络诈骗的大本营,485207,民生新闻,1,,#缅甸妙瓦底系网络诈骗的大本营#,https://s.weibo.com/weibo?q=缅甸妙瓦底系网络诈骗的大本营,2025-01-06 17:02:01
10,国家反诈中心曾提醒请勿前往妙瓦底,234005,民生新闻,1,,#国家反诈中心曾提醒请勿前往妙瓦底#,https://s.weibo.com/weibo?q=国家反诈中心曾提醒请勿前往妙瓦底,2025-01-06 17:02:01
11,抖音副总裁回应用户将钱读成米,555520,互联网,1,,#抖音副总裁回应用户将钱读成米#,https://s.weibo.com/weibo?q=抖音副总裁回应用户将钱读成米,2025-01-06 17:02:01
12,杨紫25年首套高定造型,389920,剧集,0,剧集,杨紫25年首套高定造型,https://s.weibo.com/weibo?q=杨紫25年首套高定造型,2025-01-06 17:02:01
13,WTT发文感谢樊振东,325996,体育,1,,#WTT发文感谢樊振东#,https://s.weibo.com/weibo?q=WTT发文感谢樊振东,2025-01-06 17:02:01
14,演员星星曾出演玫瑰的故事,323846,艺人,1,,#演员星星曾出演玫瑰的故事#,https://s.weibo.com/weibo?q=演员星星曾出演玫瑰的故事,2025-01-06 17:02:01
15,演员王星是否在妙瓦底有待核实,303464,艺人,1,,#演员王星是否在妙瓦底有待核实#,https://s.weibo.com/weibo?q=演员王星是否在妙瓦底有待核实,2025-01-06 17:02:01
16,太好了是长发秦岚,278540,艺人,1,,#太好了是长发秦岚#,https://s.weibo.com/weibo?q=太好了是长发秦岚,2025-01-06 17:02:01
17,19岁大学生突发疾病脑死亡,270035,民生新闻,1,,#19岁大学生突发疾病脑死亡#,https://s.weibo.com/weibo?q=19岁大学生突发疾病脑死亡,2025-01-06 17:02:01
18,韩国小狗与遇难家人告别全程安静,222894,海外新闻,1,,#韩国小狗与遇难家人告别全程安静#,https://s.weibo.com/weibo?q=韩国小狗与遇难家人告别全程安静,2025-01-06 17:02:01
19,小伙闯入太白山失联9天后独自走出,36065,民生新闻,1,,#小伙闯入太白山失联9天后独自走出#,https://s.weibo.com/weibo?q=小伙闯入太白山失联9天后独自走出,2025-01-06 17:02:01
20,女子吃5斤车厘子后发高烧,469911,民生新闻,1,,#女子吃5斤车厘子后发高烧#,https://s.weibo.com/weibo?q=女子吃5斤车厘子后发高烧,2025-01-06 17:02:01
21,演员范虎怒斥徐大久提供假消息,236229,艺人,1,,#演员范虎怒斥徐大久提供假消息#,https://s.weibo.com/weibo?q=演员范虎怒斥徐大久提供假消息,2025-01-06 17:02:01
22,工藤静香官宣微博之夜,236641,作品衍生,1,盛典,#工藤静香官宣微博之夜#,https://s.weibo.com/weibo?q=工藤静香官宣微博之夜,2025-01-06 17:02:01
23,演员星星女友已落地曼谷,188752,艺人,1,,#演员星星女友已落地曼谷#,https://s.weibo.com/weibo?q=演员星星女友已落地曼谷,2025-01-06 17:02:01
24,广州队无缘准入,61140,体育,1,,#广州队无缘准入#,https://s.weibo.com/weibo?q=广州队无缘准入,2025-01-06 17:02:01
25,迪丽热巴 青壮年艺术家,241010,作品衍生,0,剧集,迪丽热巴 青壮年艺术家,https://s.weibo.com/weibo?q=迪丽热巴 青壮年艺术家,2025-01-06 17:02:01
26,高三班主任给全班煮了个泡面塔,221622,教育,1,,#高三班主任给全班煮了个泡面塔#,https://s.weibo.com/weibo?q=高三班主任给全班煮了个泡面塔,2025-01-06 17:02:01
27,减肥不吃晚餐不会痩,206933,健康医疗,1,,#减肥不吃晚餐不会痩#,https://s.weibo.com/weibo?q=减肥不吃晚餐不会痩,2025-01-06 17:02:01
28,驻缅甸大使馆回应演员星星失联,194486,艺人,1,,#驻缅甸大使馆回应演员星星失联#,https://s.weibo.com/weibo?q=驻缅甸大使馆回应演员星星失联,2025-01-06 17:02:01
29,终于又等到全戏骨阵容的国产剧,189966,剧集,0,剧集,终于又等到全戏骨阵容的国产剧,https://s.weibo.com/weibo?q=终于又等到全戏骨阵容的国产剧,2025-01-06 17:02:01
