rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,鹿晗道歉,12876579,艺人,0,,鹿晗道歉,https://s.weibo.com/weibo?q=鹿晗道歉,2025-01-06 17:03:47
1,鸡窝头女士收拾漂亮去上班,712819,民生新闻,1,,#鸡窝头女士收拾漂亮去上班#,https://s.weibo.com/weibo?q=鸡窝头女士收拾漂亮去上班,2025-01-06 17:03:47
2,打卡中华文化种子库,31016,正能量,1,,#打卡中华文化种子库#,https://s.weibo.com/weibo?q=打卡中华文化种子库,2025-01-06 17:03:47
2,天猫今晚八点正式开卖,,,1,,,https://s.weibo.com/weibo?q=天猫今晚八点正式开卖,2025-01-06 17:03:47
3,外交部新任发言人郭嘉昆亮相,497945,国内时政,1,,#外交部新任发言人郭嘉昆亮相#,https://s.weibo.com/weibo?q=外交部新任发言人郭嘉昆亮相,2025-01-06 17:03:47
4,缅甸妙瓦底系网络诈骗的大本营,494849,民生新闻,1,,#缅甸妙瓦底系网络诈骗的大本营#,https://s.weibo.com/weibo?q=缅甸妙瓦底系网络诈骗的大本营,2025-01-06 17:03:47
5,鹿晗社交平台被禁止关注,5085395,艺人,1,,#鹿晗社交平台被禁止关注#,https://s.weibo.com/weibo?q=鹿晗社交平台被禁止关注,2025-01-06 17:03:47
5,实用讨喜的礼物大盘点,,,1,,,https://s.weibo.com/weibo?q=实用讨喜的礼物大盘点,2025-01-06 17:03:47
6,韦雪直播掉美颜,2095503,网红,1,,#韦雪直播掉美颜#,https://s.weibo.com/weibo?q=韦雪直播掉美颜,2025-01-06 17:03:47
7,田曦薇星光大赏被anti,776263,作品衍生,1,盛典,#田曦薇星光大赏被anti#,https://s.weibo.com/weibo?q=田曦薇星光大赏被anti,2025-01-06 17:03:47
8,12306崩了,491199,互联网,0,,12306崩了,https://s.weibo.com/weibo?q=12306崩了,2025-01-06 17:03:47
9,老人因套餐流量清零起诉移动败诉,13753,民生新闻,1,,#老人因套餐流量清零起诉移动败诉#,https://s.weibo.com/weibo?q=老人因套餐流量清零起诉移动败诉,2025-01-06 17:03:47
10,抖音副总裁回应用户将钱读成米,567541,互联网,1,,#抖音副总裁回应用户将钱读成米#,https://s.weibo.com/weibo?q=抖音副总裁回应用户将钱读成米,2025-01-06 17:03:47
11,妙瓦底,464889,民生新闻,0,,妙瓦底,https://s.weibo.com/weibo?q=妙瓦底,2025-01-06 17:03:47
12,杨紫25年首套高定造型,389990,剧集,0,剧集,杨紫25年首套高定造型,https://s.weibo.com/weibo?q=杨紫25年首套高定造型,2025-01-06 17:03:47
13,WTT发文感谢樊振东,330410,体育,1,,#WTT发文感谢樊振东#,https://s.weibo.com/weibo?q=WTT发文感谢樊振东,2025-01-06 17:03:47
14,国家反诈中心曾提醒请勿前往妙瓦底,255114,民生新闻,1,,#国家反诈中心曾提醒请勿前往妙瓦底#,https://s.weibo.com/weibo?q=国家反诈中心曾提醒请勿前往妙瓦底,2025-01-06 17:03:47
15,演员星星曾出演玫瑰的故事,315979,艺人,1,,#演员星星曾出演玫瑰的故事#,https://s.weibo.com/weibo?q=演员星星曾出演玫瑰的故事,2025-01-06 17:03:47
16,19岁大学生突发疾病脑死亡,298780,民生新闻,1,,#19岁大学生突发疾病脑死亡#,https://s.weibo.com/weibo?q=19岁大学生突发疾病脑死亡,2025-01-06 17:03:47
17,演员王星是否在妙瓦底有待核实,288907,艺人,1,,#演员王星是否在妙瓦底有待核实#,https://s.weibo.com/weibo?q=演员王星是否在妙瓦底有待核实,2025-01-06 17:03:47
