rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,李心艾刘子瑞结婚,1468342,艺人,1,,#李心艾刘子瑞结婚#,https://s.weibo.com/weibo?q=李心艾刘子瑞结婚,2025-01-07 10:12:47
1,西藏日喀则6.8级地震,1115667,民生新闻,1,,#西藏日喀则6.8级地震#,https://s.weibo.com/weibo?q=西藏日喀则6.8级地震,2025-01-07 10:12:47
2,我国在青藏高原取得找矿重大突破,111561,民生新闻,1,,#我国在青藏高原取得找矿重大突破#,https://s.weibo.com/weibo?q=我国在青藏高原取得找矿重大突破,2025-01-07 10:12:47
3,演员王星女友更新最新情况,1767576,艺人,1,,#演员王星女友更新最新情况#,https://s.weibo.com/weibo?q=演员王星女友更新最新情况,2025-01-07 10:12:47
4,2岁娃长隆酒店高烧保安拒交外卖药,541908,民生新闻,1,,#2岁娃长隆酒店高烧保安拒交外卖药#,https://s.weibo.com/weibo?q=2岁娃长隆酒店高烧保安拒交外卖药,2025-01-07 10:12:47
5,多方回应入住酒店孩子高烧取外卖难,439224,舆论监督,1,,#多方回应入住酒店孩子高烧取外卖难#,https://s.weibo.com/weibo?q=多方回应入住酒店孩子高烧取外卖难,2025-01-07 10:12:47
5,中国国家地理x华为乾崑寻迹,,,1,,,https://s.weibo.com/weibo?q=中国国家地理x华为乾崑寻迹,2025-01-07 10:12:47
6,泰国影视圈人士发声,568747,艺人,1,,#泰国影视圈人士发声#,https://s.weibo.com/weibo?q=泰国影视圈人士发声,2025-01-07 10:12:47
7,西藏地震,1481181,民生新闻,0,,西藏地震,https://s.weibo.com/weibo?q=西藏地震,2025-01-07 10:12:47
8,杨紫 没有这么欺负人的,394959,剧集,0,剧集,杨紫 没有这么欺负人的,https://s.weibo.com/weibo?q=杨紫 没有这么欺负人的,2025-01-07 10:12:47
9,一次收几十元微信红包最后贪了47万,360374,民生新闻,1,,#一次收几十元微信红包最后贪了47万#,https://s.weibo.com/weibo?q=一次收几十元微信红包最后贪了47万,2025-01-07 10:12:47
10,黄子韬炮轰演员星星失联事件招聘组,749815,艺人,1,,#黄子韬炮轰演员星星失联事件招聘组#,https://s.weibo.com/weibo?q=黄子韬炮轰演员星星失联事件招聘组,2025-01-07 10:12:47
11,汕头牛肉丸必须牛肉含量超9成,197515,美食,1,,#汕头牛肉丸必须牛肉含量超9成#,https://s.weibo.com/weibo?q=汕头牛肉丸必须牛肉含量超9成,2025-01-07 10:12:47
12,腾讯回应被列入美国防部名单,552872,"国际时政,互联网",1,,#腾讯回应被列入美国防部名单#,https://s.weibo.com/weibo?q=腾讯回应被列入美国防部名单,2025-01-07 10:12:47
13,赞达亚荷兰弟订婚,388745,艺人,1,,#赞达亚荷兰弟订婚#,https://s.weibo.com/weibo?q=赞达亚荷兰弟订婚,2025-01-07 10:12:47
14,泰国文华律所谈王星失踪案进展,47658,艺人,1,,#泰国文华律所谈王星失踪案进展#,https://s.weibo.com/weibo?q=泰国文华律所谈王星失踪案进展,2025-01-07 10:12:47
15,失联9天走出太白山男子恐面临截肢,287007,民生新闻,1,,#失联9天走出太白山男子恐面临截肢#,https://s.weibo.com/weibo?q=失联9天走出太白山男子恐面临截肢,2025-01-07 10:12:47
16,过了腊八就是年,286849,民生新闻,1,,#过了腊八就是年#,https://s.weibo.com/weibo?q=过了腊八就是年,2025-01-07 10:12:47
17,市监局工作人员回应九点没人上班,285280,民生新闻,1,,#市监局工作人员回应九点没人上班#,https://s.weibo.com/weibo?q=市监局工作人员回应九点没人上班,2025-01-07 10:12:47
18,教资面试成绩,276470,教育,0,,教资面试成绩,https://s.weibo.com/weibo?q=教资面试成绩,2025-01-07 10:12:47
19,成毅喂牛,238071,剧集,1,剧集,#成毅喂牛#,https://s.weibo.com/weibo?q=成毅喂牛,2025-01-07 10:12:47
