rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,李心艾刘子瑞结婚,1504452,艺人,1,,#李心艾刘子瑞结婚#,https://s.weibo.com/weibo?q=李心艾刘子瑞结婚,2025-01-07 10:22:30
1,西藏日喀则6.8级地震,1280593,民生新闻,1,,#西藏日喀则6.8级地震#,https://s.weibo.com/weibo?q=西藏日喀则6.8级地震,2025-01-07 10:22:30
2,我国在青藏高原取得找矿重大突破,99651,民生新闻,1,,#我国在青藏高原取得找矿重大突破#,https://s.weibo.com/weibo?q=我国在青藏高原取得找矿重大突破,2025-01-07 10:22:30
2,腊八买年货就上天猫,,,1,,,https://s.weibo.com/weibo?q=腊八买年货就上天猫,2025-01-07 10:22:30
3,演员王星女友更新最新情况,1616293,艺人,1,,#演员王星女友更新最新情况#,https://s.weibo.com/weibo?q=演员王星女友更新最新情况,2025-01-07 10:22:30
4,多方回应入住酒店孩子高烧取外卖难,385835,舆论监督,1,,#多方回应入住酒店孩子高烧取外卖难#,https://s.weibo.com/weibo?q=多方回应入住酒店孩子高烧取外卖难,2025-01-07 10:22:30
5,一次收几十元微信红包最后贪了47万,383323,民生新闻,1,,#一次收几十元微信红包最后贪了47万#,https://s.weibo.com/weibo?q=一次收几十元微信红包最后贪了47万,2025-01-07 10:22:30
5,孙颖莎半亩花田全球品牌代言人,,,1,,,https://s.weibo.com/weibo?q=孙颖莎半亩花田全球品牌代言人,2025-01-07 10:22:30
6,泰国影视圈人士发声,664095,艺人,1,,#泰国影视圈人士发声#,https://s.weibo.com/weibo?q=泰国影视圈人士发声,2025-01-07 10:22:30
7,杨紫 没有这么欺负人的,363965,剧集,0,剧集,杨紫 没有这么欺负人的,https://s.weibo.com/weibo?q=杨紫 没有这么欺负人的,2025-01-07 10:22:30
8,2岁娃长隆酒店高烧保安拒交外卖药,498270,民生新闻,1,,#2岁娃长隆酒店高烧保安拒交外卖药#,https://s.weibo.com/weibo?q=2岁娃长隆酒店高烧保安拒交外卖药,2025-01-07 10:22:30
9,腊八吃什么,108855,美食,1,,#腊八吃什么#,https://s.weibo.com/weibo?q=腊八吃什么,2025-01-07 10:22:30
10,西藏地震,1029642,民生新闻,0,,西藏地震,https://s.weibo.com/weibo?q=西藏地震,2025-01-07 10:22:30
