rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,李心艾刘子瑞结婚,1552139,艺人,1,,#李心艾刘子瑞结婚#,https://s.weibo.com/weibo?q=李心艾刘子瑞结婚,2025-01-07 10:17:41
1,西藏日喀则6.8级地震,1157307,民生新闻,1,,#西藏日喀则6.8级地震#,https://s.weibo.com/weibo?q=西藏日喀则6.8级地震,2025-01-07 10:17:41
2,我国在青藏高原取得找矿重大突破,106711,民生新闻,1,,#我国在青藏高原取得找矿重大突破#,https://s.weibo.com/weibo?q=我国在青藏高原取得找矿重大突破,2025-01-07 10:17:41
2,送京东黄金水饺 咬金财运来,,,1,,,https://s.weibo.com/weibo?q=送京东黄金水饺 咬金财运来,2025-01-07 10:17:41
3,演员王星女友更新最新情况,1663300,艺人,1,,#演员王星女友更新最新情况#,https://s.weibo.com/weibo?q=演员王星女友更新最新情况,2025-01-07 10:17:41
4,多方回应入住酒店孩子高烧取外卖难,408898,舆论监督,1,,#多方回应入住酒店孩子高烧取外卖难#,https://s.weibo.com/weibo?q=多方回应入住酒店孩子高烧取外卖难,2025-01-07 10:17:41
5,2岁娃长隆酒店高烧保安拒交外卖药,513293,民生新闻,1,,#2岁娃长隆酒店高烧保安拒交外卖药#,https://s.weibo.com/weibo?q=2岁娃长隆酒店高烧保安拒交外卖药,2025-01-07 10:17:41
5,舒淇逆生长,,,1,,,https://s.weibo.com/weibo?q=舒淇逆生长,2025-01-07 10:17:41
6,泰国影视圈人士发声,609511,艺人,1,,#泰国影视圈人士发声#,https://s.weibo.com/weibo?q=泰国影视圈人士发声,2025-01-07 10:17:41
7,杨紫 没有这么欺负人的,382018,剧集,0,剧集,杨紫 没有这么欺负人的,https://s.weibo.com/weibo?q=杨紫 没有这么欺负人的,2025-01-07 10:17:41
8,一次收几十元微信红包最后贪了47万,378729,民生新闻,1,,#一次收几十元微信红包最后贪了47万#,https://s.weibo.com/weibo?q=一次收几十元微信红包最后贪了47万,2025-01-07 10:17:41
9,失联9天走出太白山男子恐面临截肢,288092,民生新闻,1,,#失联9天走出太白山男子恐面临截肢#,https://s.weibo.com/weibo?q=失联9天走出太白山男子恐面临截肢,2025-01-07 10:17:41
10,西藏地震,1223726,民生新闻,0,,西藏地震,https://s.weibo.com/weibo?q=西藏地震,2025-01-07 10:17:41
11,黄子韬炮轰演员星星失联事件招聘组,778827,艺人,1,,#黄子韬炮轰演员星星失联事件招聘组#,https://s.weibo.com/weibo?q=黄子韬炮轰演员星星失联事件招聘组,2025-01-07 10:17:41
12,腾讯回应被列入美国防部名单,533383,"国际时政,互联网",1,,#腾讯回应被列入美国防部名单#,https://s.weibo.com/weibo?q=腾讯回应被列入美国防部名单,2025-01-07 10:17:41
13,失联演员星星女友称在泰国完成笔录,125541,艺人,1,,#失联演员星星女友称在泰国完成笔录#,https://s.weibo.com/weibo?q=失联演员星星女友称在泰国完成笔录,2025-01-07 10:17:41
14,泰国文华律所谈王星失踪案进展,56271,艺人,1,,#泰国文华律所谈王星失踪案进展#,https://s.weibo.com/weibo?q=泰国文华律所谈王星失踪案进展,2025-01-07 10:17:41
15,赞达亚荷兰弟订婚,394610,艺人,1,,#赞达亚荷兰弟订婚#,https://s.weibo.com/weibo?q=赞达亚荷兰弟订婚,2025-01-07 10:17:41
16,哈里斯宣布特朗普当选后掏出纸巾,349186,国际时政,1,,#哈里斯宣布特朗普当选后掏出纸巾#,https://s.weibo.com/weibo?q=哈里斯宣布特朗普当选后掏出纸巾,2025-01-07 10:17:41
17,市监局工作人员回应九点没人上班,274589,民生新闻,1,,#市监局工作人员回应九点没人上班#,https://s.weibo.com/weibo?q=市监局工作人员回应九点没人上班,2025-01-07 10:17:41
18,美国会确认特朗普当选总统,272203,国际时政,1,,#美国会确认特朗普当选总统#,https://s.weibo.com/weibo?q=美国会确认特朗普当选总统,2025-01-07 10:17:41
19,教资面试成绩,271583,教育,0,,教资面试成绩,https://s.weibo.com/weibo?q=教资面试成绩,2025-01-07 10:17:41
20,过了腊八就是年,266080,民生新闻,1,,#过了腊八就是年#,https://s.weibo.com/weibo?q=过了腊八就是年,2025-01-07 10:17:41
21,成毅喂牛,260396,剧集,1,剧集,#成毅喂牛#,https://s.weibo.com/weibo?q=成毅喂牛,2025-01-07 10:17:41
22,金智秀韩剧新乌托邦,251053,剧集,0,,金智秀韩剧新乌托邦,https://s.weibo.com/weibo?q=金智秀韩剧新乌托邦,2025-01-07 10:17:41
23,韩国人最喜欢的中剧排行,237773,剧集,1,,#韩国人最喜欢的中剧排行#,https://s.weibo.com/weibo?q=韩国人最喜欢的中剧排行,2025-01-07 10:17:41
24,天津市考成绩,193849,教育,0,,天津市考成绩,https://s.weibo.com/weibo?q=天津市考成绩,2025-01-07 10:17:41
25,汕头牛肉丸必须牛肉含量超9成,210321,美食,1,,#汕头牛肉丸必须牛肉含量超9成#,https://s.weibo.com/weibo?q=汕头牛肉丸必须牛肉含量超9成,2025-01-07 10:17:41
26,宁德时代跌逾5%,195659,财经,1,,#宁德时代跌逾5%#,https://s.weibo.com/weibo?q=宁德时代跌逾5%,2025-01-07 10:17:41
27,宋佳想要成毅的微信,195299,综艺,1,盛典,#宋佳想要成毅的微信#,https://s.weibo.com/weibo?q=宋佳想要成毅的微信,2025-01-07 10:17:41
28,准备进入过年模式了,186453,民生新闻,1,,#准备进入过年模式了#,https://s.weibo.com/weibo?q=准备进入过年模式了,2025-01-07 10:17:41
29,腊八节,181715,民生新闻,0,,腊八节,https://s.weibo.com/weibo?q=腊八节,2025-01-07 10:17:41
30,学医小伙靠两天食物山上存活9天,164655,民生新闻,1,,#学医小伙靠两天食物山上存活9天#,https://s.weibo.com/weibo?q=学医小伙靠两天食物山上存活9天,2025-01-07 10:17:41
31,甲流后发烧一查变成病毒性肺炎,163043,民生新闻,1,,#甲流后发烧一查变成病毒性肺炎#,https://s.weibo.com/weibo?q=甲流后发烧一查变成病毒性肺炎,2025-01-07 10:17:41
32,东北的早市才是碳水届扛把子,161652,美食,1,,#东北的早市才是碳水届扛把子#,https://s.weibo.com/weibo?q=东北的早市才是碳水届扛把子,2025-01-07 10:17:41
33,西藏地震周边5公里有7个村庄,159394,民生新闻,1,,#西藏地震周边5公里有7个村庄#,https://s.weibo.com/weibo?q=西藏地震周边5公里有7个村庄,2025-01-07 10:17:41
34,反腐为了人民,155473,正能量,1,,#反腐为了人民#,https://s.weibo.com/weibo?q=反腐为了人民,2025-01-07 10:17:41
35,官方通报女子吃包子称有甲醛索赔,141905,辟谣/通报,1,,#官方通报女子吃包子称有甲醛索赔#,https://s.weibo.com/weibo?q=官方通报女子吃包子称有甲醛索赔,2025-01-07 10:17:41
36,男子甲流后患病毒性肺炎四肢末端花斑,133922,健康医疗,1,,#男子甲流后患病毒性肺炎四肢末端花斑#,https://s.weibo.com/weibo?q=男子甲流后患病毒性肺炎四肢末端花斑,2025-01-07 10:17:41
37,Minnie空降,132834,音乐,1,音乐,#Minnie空降#,https://s.weibo.com/weibo?q=Minnie空降,2025-01-07 10:17:41
38,美国总统拜登被提起诉讼,127409,国际时政,1,,#美国总统拜登被提起诉讼#,https://s.weibo.com/weibo?q=美国总统拜登被提起诉讼,2025-01-07 10:17:41
