rank,title,hot_value,category,topic_flag,subject_label,word_scheme,url,crawl_time
0,鹿晗道歉,14428451,艺人,0,,鹿晗道歉,https://s.weibo.com/weibo?q=鹿晗道歉,2025-01-06 16:53:50
1,鸡窝头女士收拾漂亮去上班,764121,民生新闻,1,,#鸡窝头女士收拾漂亮去上班#,https://s.weibo.com/weibo?q=鸡窝头女士收拾漂亮去上班,2025-01-06 16:53:50
2,打卡中华文化种子库,30189,正能量,1,,#打卡中华文化种子库#,https://s.weibo.com/weibo?q=打卡中华文化种子库,2025-01-06 16:53:50
2,赵丽颖科兰黎全球代言,,,1,,,https://s.weibo.com/weibo?q=赵丽颖科兰黎全球代言,2025-01-06 16:53:50
3,12306崩了,535633,互联网,0,,12306崩了,https://s.weibo.com/weibo?q=12306崩了,2025-01-06 16:53:50
4,缅甸妙瓦底系网络诈骗的大本营,457234,民生新闻,1,,#缅甸妙瓦底系网络诈骗的大本营#,https://s.weibo.com/weibo?q=缅甸妙瓦底系网络诈骗的大本营,2025-01-06 16:53:50
5,鹿晗社交平台被禁止关注,6000975,艺人,1,,#鹿晗社交平台被禁止关注#,https://s.weibo.com/weibo?q=鹿晗社交平台被禁止关注,2025-01-06 16:53:50
5,杨洋娇兰十周年,,,1,,,https://s.weibo.com/weibo?q=杨洋娇兰十周年,2025-01-06 16:53:50
6,韦雪直播掉美颜,2018515,网红,1,,#韦雪直播掉美颜#,https://s.weibo.com/weibo?q=韦雪直播掉美颜,2025-01-06 16:53:50
7,外交部新任发言人郭嘉昆亮相,449419,国内时政,1,,#外交部新任发言人郭嘉昆亮相#,https://s.weibo.com/weibo?q=外交部新任发言人郭嘉昆亮相,2025-01-06 16:53:50
8,妙瓦底,436047,民生新闻,0,,妙瓦底,https://s.weibo.com/weibo?q=妙瓦底,2025-01-06 16:53:50
9,演员星星曾出演玫瑰的故事,340962,艺人,1,,#演员星星曾出演玫瑰的故事#,https://s.weibo.com/weibo?q=演员星星曾出演玫瑰的故事,2025-01-06 16:53:50
10,田曦薇星光大赏被anti,810115,作品衍生,1,盛典,#田曦薇星光大赏被anti#,https://s.weibo.com/weibo?q=田曦薇星光大赏被anti,2025-01-06 16:53:50
11,抖音副总裁回应用户将钱读成米,558336,互联网,1,,#抖音副总裁回应用户将钱读成米#,https://s.weibo.com/weibo?q=抖音副总裁回应用户将钱读成米,2025-01-06 16:53:50
